Room,Campus,Capacity,Room Type,Frequency,Occupancy,Utilization
0591_-1_B1.08,Holyrood,16,Boardroom Style,0.029629629629629627,0.6875,0.02037037037037037
0591_-1_B1.09,Holyrood,16,Boardroom Style,0.03283283283283283,0.6770833333333334,0.022230563897230562
0591_-1_B1.10,Holyrood,14,Boardroom Style,0.09079079079079079,0.7142857142857143,0.06485056485056485
0591_-1_B1.11,Holyrood,150,Classroom Style,0.18698698698698704,0.6483018867924528,0.12122401646929952
0551_00_G1,Holyrood,240,Classroom Style,0.24404404404404406,0.5640972222222221,0.1376645673451229
0551_00_G21,Holyrood,60,Classroom Style,0.30430430430430416,0.7338461538461539,0.22331254331254324
0551_00_G28,Holyrood,12,Classroom Style,0.04590869939707149,0.7777777777777778,0.03570676619772227
0551_00_G30,Holyrood,10,Classroom Style,0.05271317829457365,0.9307692307692308,0.04906380441264163
0551_00_G32,Holyrood,12,Classroom Style,0.09259259259259257,0.9215686274509804,0.08533042846768336
0551_00_G33,Holyrood,10,Classroom Style,0.055900086132644265,1.0571428571428572,0.059094376768795365
0551_00_G34,Holyrood,18,Boardroom Style,0.24619341563786004,0.7885304659498208,0.19413100874669967
0551_00_G35,Holyrood,16,Group Cluster Style,0.23508230452674894,0.9241071428571429,0.21724123677248675
0551_00_G36B,Holyrood,14,Classroom Style,0.30267011197243754,0.9780219780219781,0.296018021599417
0551_00_G36A,Holyrood,12,Classroom Style,0.11102497846683893,0.9111111111111113,0.10115609149200883
