Room,Campus,Capacity,Room Type,Frequency,Occupancy,Utilization
0001_01_1.266,Central,24,Boardroom Style,0.19569569569569573,0.697695035460993,0.13653591534797213
0001_01_1.267,Central,26,Boardroom Style,0.35725725725725727,0.8838757396449703,0.31577102250179173
0001_01_1.270,Central,16,Boardroom Style,0.3391391391391391,0.7919921875,0.26859554867367363
0001_01_1.273,Central,22,Boardroom Style,0.2594594594594595,0.7632933104631217,0.19804366974178292
0001_01_1.274,Central,22,Boardroom Style,0.29199199199199194,0.7190082644628096,0.20994465539920074
0001_01_1.275,Central,30,Boardroom Style,0.3184210526315789,0.843089430894309,0.26845742404792466
0001_02_2.343,Central,16,Boardroom Style,0.3528528528528528,0.5786516853932584,0.20417889799912267
0001_02_2.345,Central,16,Boardroom Style,0.34364364364364364,0.5773809523809523,0.19841329424662757
0001_02_2.347,Central,16,Boardroom Style,0.37887887887887894,0.5986111111111111,0.2268011066622178
0001_02_2.349,Central,16,Boardroom Style,0.393993993993994,0.5779639175257731,0.2277143122503947
0001_02_2.351,Central,16,Boardroom Style,0.3748748748748748,0.6783333333333333,0.2542901234567901
0313_00_G.10,Central,36,Classroom Style,0.26076076076076077,0.6756944444444445,0.17619459737515294
0210_00_G.04,Central,139,Lecture Theatre,0.27397397397397405,0.6949107380762057,0.1903874564679255
0704_00_G.13.14,Easter Bush,22,Specialist Room,0.06804232804232806,2.055681818181818,0.13987337662337665
0727_00_GB.26,Easter Bush,42,Specialist Room,0.03265993265993267,0.9523809523809521,0.031104697771364435
0781_00_G.022,Easter Bush,250,Specialist Room,0.06867724867724857,0.6982677165354335,0.047955105611798485
0781_-1_B.006,Easter Bush,42,Specialist Room,0.003812636165577342,1.9880952380952381,0.007579883805374002
0728_00_G.01,Easter Bush,98,Specialist Room,0.17528042328042354,0.6964503750218036,0.12207411652763145
0728_00_G.58,Easter Bush,202,Specialist Room,0.20031746031746023,0.6445784740199088,0.12912032289097214
0728_00_G.66,Easter Bush,202,Specialist Room,0.24439300411522527,0.9176556728520535,0.22426862663169173
0728_01_1.24,Easter Bush,20,Specialist Room,0.021023965141612196,0.9685185185185186,0.02036209957233922
0728_01_1.25,Easter Bush,20,Specialist Room,0.04117647058823531,0.9133333333333333,0.03760784313725491
0728_01_1.26,Easter Bush,20,Specialist Room,0.058605664488017406,0.5840000000000001,0.03422570806100217
0728_01_1.27,Easter Bush,20,Specialist Room,0.05788359788359788,0.8885964912280702,0.05143516197902162
0728_01_1.28,Easter Bush,32,Specialist Room,0.16682098765432113,1.060968137254902,0.1769917525266281
0728_01_1.42,Easter Bush,10,Specialist Room,0.010634920634920636,6.918181818181818,0.07357431457431458
0728_01_1.43,Easter Bush,10,Specialist Room,0.012305854241338114,7.825,0.09629330943847074
0728_01_1.45,Easter Bush,10,Specialist Room,0.015712682379349044,3.2882352941176465,0.051666996765035965
0728_01_1.46,Easter Bush,10,Specialist Room,0.10545267489711942,1.1456521739130436,0.1208120862408303
0558_02_2.2,Holyrood,16,Boardroom Style,0.18446054750402574,0.6875,0.1268166264090177
0558_02_2.3,Holyrood,52,Classroom Style,0.17383252818035416,0.7067307692307692,0.12285279635823106
0558_03_3.13,Holyrood,24,Classroom Style,0.1552110249784668,0.876068376068376,0.13597547060079357
0558_03_3.4,Holyrood,33,Classroom Style,0.15700483091787437,0.8479130931961119,0.13312645183030739
0558_03_3.02,Holyrood,24,Boardroom Style,0.1528854435831179,0.7383720930232558,0.11288634497125566
0558_04_4.02,Holyrood,24,Classroom Style,0.26866866866866873,0.746376811594203,0.2005280642961803
0558_04_4.18,Holyrood,32,Classroom Style,0.19009474590869935,0.8046875,0.15296686584840652
0558_04_4.20,Holyrood,38,Classroom Style,0.14750402576489532,0.6751879699248121,0.09959294371193686
0558_04_4.4,Holyrood,32,Classroom Style,0.17140396210163644,0.8284198113207547,0.14199443794386746
0558_05_5.11,Holyrood,35,Classroom Style,0.1927927927927927,0.7087301587301588,0.13663806663806657
0558_05_5.2,Holyrood,48,Classroom Style,0.24524524524524524,0.5518410852713178,0.13533640229376662
0558_05_5.3,Holyrood,25,Classroom Style,0.18105081826012054,0.8461538461538461,0.153196846220102
0558_05_5.4,Holyrood,25,Classroom Style,0.20353143841515933,0.8213953488372091,0.16717977685635874
0591_-1_B1.01,Holyrood,16,Boardroom Style,0.1004004004004004,0.9,0.09036036036036035
0591_-1_B1.02,Holyrood,16,Boardroom Style,0.08588588588588589,0.8166666666666667,0.07014014014014014
0591_-1_B1.03,Holyrood,16,Boardroom Style,0.08436213991769546,1.1125,0.09385288065843621
0591_-1_B1.04,Holyrood,14,Boardroom Style,0.1002002002002002,0.39177489177489183,0.03925592258925593
0591_-1_B1.05,Holyrood,16,Boardroom Style,0.08548548548548547,0.45,0.038468468468468464
0591_-1_B1.06,Holyrood,16,Boardroom Style,0.037037037037037035,0.7265625,0.02690972222222222
0591_-1_B1.07,Holyrood,16,Boardroom Style,0.04944944944944945,0.75,0.037087087087087085
